Time,Exit,Direction,PnL
2023-01-02 02:00:00,2023-01-02 08:00:00,Long,-1.0
2023-01-02 10:00:00,2023-01-02 17:00:00,Long,0.5
2023-01-02 21:00:00,2023-01-03 03:00:00,Long,-1.0
2023-01-03 07:00:00,2023-01-03 13:00:00,Long,-1.0
2023-01-03 18:00:00,2023-01-03 23:00:00,Long,-2.5
2023-01-04 04:00:00,2023-01-04 09:00:00,Long,-2.5
2023-01-04 14:00:00,2023-01-04 19:00:00,Long,-2.5
2023-01-05 00:00:00,2023-01-05 05:00:00,Long,-2.5
2023-01-05 10:00:00,2023-01-05 15:00:00,Long,-2.5
2023-01-05 20:00:00,2023-01-06 01:00:00,Long,-2.5
2023-01-06 06:00:00,2023-01-06 11:00:00,Long,-2.5
2023-01-06 16:00:00,2023-01-06 21:00:00,Long,-2.5
2023-01-07 02:00:00,2023-01-07 07:00:00,Long,-2.5
2023-01-07 12:00:00,2023-01-07 17:00:00,Long,-2.5
2023-01-07 22:00:00,2023-01-08 03:00:00,Long,-2.5
2023-01-08 08:00:00,2023-01-08 13:00:00,Long,-2.5
2023-01-08 18:00:00,2023-01-08 23:00:00,Long,-2.5
2023-01-09 04:00:00,2023-01-09 09:00:00,Long,-2.5
2023-01-09 14:00:00,2023-01-09 19:00:00,Long,-2.5
2023-01-10 00:00:00,2023-01-10 05:00:00,Long,-2.5
2023-01-10 10:00:00,2023-01-10 15:00:00,Long,-2.5
2023-01-10 20:00:00,2023-01-11 01:00:00,Long,-2.5
2023-01-11 06:00:00,2023-01-11 11:00:00,Long,-2.5
2023-01-11 16:00:00,2023-01-11 21:00:00,Long,-2.5
2023-01-12 02:00:00,2023-01-12 07:00:00,Long,-2.5
2023-01-12 12:00:00,2023-01-12 17:00:00,Long,-2.5
2023-01-12 22:00:00,2023-01-13 03:00:00,Long,-2.5
2023-01-13 08:00:00,2023-01-13 13:00:00,Long,-2.5
2023-01-13 18:00:00,2023-01-13 23:00:00,Long,-2.5
2023-01-14 04:00:00,2023-01-14 09:00:00,Long,-2.5
2023-01-14 14:00:00,2023-01-14 19:00:00,Long,-2.5
2023-01-15 00:00:00,2023-01-15 05:00:00,Long,-2.5
2023-01-15 10:00:00,2023-01-15 15:00:00,Long,-2.5
2023-01-15 20:00:00,2023-01-16 01:00:00,Long,-2.5
2023-01-16 06:00:00,2023-01-16 11:00:00,Long,-2.5
2023-01-16 16:00:00,2023-01-16 21:00:00,Long,-2.5
2023-01-17 02:00:00,2023-01-17 07:00:00,Long,-2.5
2023-01-17 12:00:00,2023-01-17 17:00:00,Long,-2.5
2023-01-17 22:00:00,2023-01-18 03:00:00,Long,-2.5
2023-01-18 08:00:00,2023-01-18 13:00:00,Long,-2.5
2023-01-18 18:00:00,2023-01-18 23:00:00,Long,-2.5
2023-01-19 04:00:00,2023-01-19 09:00:00,Long,-2.5
2023-01-19 14:00:00,2023-01-19 19:00:00,Long,-2.5
2023-01-20 00:00:00,2023-01-20 05:00:00,Long,-2.5
2023-01-20 10:00:00,2023-01-20 15:00:00,Long,-2.5
2023-01-20 20:00:00,2023-01-21 01:00:00,Long,-2.5
2023-01-21 06:00:00,2023-01-21 11:00:00,Long,-2.5
2023-01-21 16:00:00,2023-01-21 21:00:00,Long,-2.5
2023-01-22 02:00:00,2023-01-22 07:00:00,Long,-2.5
2023-01-22 12:00:00,2023-01-22 17:00:00,Long,-2.5
2023-01-22 22:00:00,2023-01-23 03:00:00,Long,-2.5
2023-01-23 08:00:00,2023-01-23 13:00:00,Long,-2.5
2023-01-23 18:00:00,2023-01-23 23:00:00,Long,-2.5
2023-01-24 04:00:00,2023-01-24 09:00:00,Long,-2.5
2023-01-24 14:00:00,2023-01-24 19:00:00,Long,-2.5
2023-01-25 00:00:00,2023-01-25 05:00:00,Long,-2.5
2023-01-25 10:00:00,2023-01-25 15:00:00,Long,-2.5
2023-01-25 20:00:00,2023-01-26 01:00:00,Long,-2.5
2023-01-26 06:00:00,2023-01-26 11:00:00,Long,-2.5
2023-01-26 16:00:00,2023-01-26 21:00:00,Long,-2.5
2023-01-27 02:00:00,2023-01-27 07:00:00,Long,-2.5
2023-01-27 12:00:00,2023-01-27 17:00:00,Long,-2.5
2023-01-27 22:00:00,2023-01-28 03:00:00,Long,-2.5
2023-01-28 08:00:00,2023-01-28 13:00:00,Long,-2.5
2023-01-28 18:00:00,2023-01-28 23:00:00,Long,-2.5
2023-01-29 04:00:00,2023-01-29 09:00:00,Long,-2.5
2023-01-29 14:00:00,2023-01-29 19:00:00,Long,-2.5
2023-01-30 00:00:00,2023-01-30 05:00:00,Long,-2.5
2023-01-30 10:00:00,2023-01-30 15:00:00,Long,-2.5
2023-01-30 20:00:00,2023-01-31 01:00:00,Long,-2.5
2023-01-31 06:00:00,2023-01-31 11:00:00,Long,-2.5
2023-01-31 16:00:00,2023-01-31 21:00:00,Long,-2.5
2023-02-01 02:00:00,2023-02-01 07:00:00,Long,-2.5
2023-02-01 12:00:00,2023-02-01 17:00:00,Long,-2.5
2023-02-01 22:00:00,2023-02-02 03:00:00,Long,-2.5
2023-02-02 08:00:00,2023-02-02 13:00:00,Long,-2.5
2023-02-02 18:00:00,2023-02-02 23:00:00,Long,-2.5
2023-02-03 04:00:00,2023-02-03 09:00:00,Long,-2.5
2023-02-03 14:00:00,2023-02-03 19:00:00,Long,-2.5
2023-02-04 00:00:00,2023-02-04 05:00:00,Long,-2.5
2023-02-04 10:00:00,2023-02-04 15:00:00,Long,-2.5
2023-02-04 20:00:00,2023-02-05 01:00:00,Long,-2.5
2023-02-05 06:00:00,2023-02-05 11:00:00,Long,-2.5
2023-02-05 16:00:00,2023-02-05 21:00:00,Long,-2.5
2023-02-06 02:00:00,2023-02-06 07:00:00,Long,-2.5
2023-02-06 12:00:00,2023-02-06 17:00:00,Long,-2.5
2023-02-06 22:00:00,2023-02-07 03:00:00,Long,-2.5
2023-02-07 08:00:00,2023-02-07 13:00:00,Long,-2.5
2023-02-07 18:00:00,2023-02-07 23:00:00,Long,-2.5
2023-02-08 04:00:00,2023-02-08 09:00:00,Long,-2.5
2023-02-08 14:00:00,2023-02-08 19:00:00,Long,-2.5
2023-02-09 00:00:00,2023-02-09 05:00:00,Long,-2.5
2023-02-09 10:00:00,2023-02-09 15:00:00,Long,-2.5
2023-02-09 20:00:00,2023-02-10 01:00:00,Long,-2.5
2023-02-10 06:00:00,2023-02-10 11:00:00,Long,-2.5
2023-02-10 16:00:00,2023-02-10 21:00:00,Long,-2.5
2023-02-11 02:00:00,2023-02-11 07:00:00,Long,-2.5
